Detector,X_CORD,Y_CORD,1,2,3,4,5
S42Per,472392.8636,6219325.756,1,1,1,0,1
S43Per,467295.3988,6220566.711,1,1,1,1,1
S44Per,466803.9044,6220483.823,1,1,1,1,1
S45Per,466336.4371,6220283.348,1,1,1,1,1
S46Per,465906.4904,6220061.586,1,0,1,1,1
S47Per,465437.9267,6219894.327,1,1,1,1,1
S48Per,464946.0422,6219781.179,0,1,1,1,1
S49Per,464472.3246,6219741.923,1,1,1,0,1
S50Per,463970.6311,6219740.014,1,1,1,1,1
S51Per,463533.2233,6219537.407,1,1,1,1,1
S52Per,463072.5209,6219262.946,1,1,1,1,1
S53Per,462445.9078,6219344.071,1,1,1,1,1
S54Per,462456.5078,6218859.218,1,1,1,1,1
S55Per,462648.9127,6218427.537,1,1,1,1,1
S56Per,462841.6146,6218126.142,1,1,1,1,1
S57Per,462831.7823,6217629.565,1,1,1,1,1
X31Per,463976.56,6219804.02,0,0,0,1,1
X32Per,465447.59,6221630.35,0,0,0,1,1
X33Per,465042.57,6221958.62,0,0,0,1,1
Z30Per,466230.0628,6221259.292,1,1,1,1,1
Z31Per,465958.0864,6221672.904,1,1,1,1,1
Z32Per,465447.5897,6221630.349,1,1,1,1,1
Z33Per,465042.5697,6221958.619,1,1,1,1,1
Z34Per,464743.1636,6222365.33,1,1,1,1,1
Z35Per,464676.4399,6222873.7,1,1,1,1,1
Z36Per,464439.6473,6223291.946,1,1,1,1,1
Z37Per,463931.7727,6223458.113,1,1,1,1,1
Z38Per,463478.1163,6223572.57,1,1,1,1,1
Z41Per,464153.8008,6224891.234,1,1,1,0,0
Z42Per,463768.051,6224549.459,1,1,1,0,0
Z43Per,463363.6705,6224215.579,1,1,1,0,0
